match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
Sri Lanka Vs Netherlands,Netherlands,3,Bas de Leede,14,10,1,1,140.00,out,T20I # 1835
Sri Lanka Vs Netherlands,Netherlands,4,Colin Ackermann,0,1,0,0,0.00,out,T20I # 1835
Sri Lanka Vs Netherlands,Netherlands,5,Tom Cooper,16,19,2,0,84.21,out,T20I # 1835
Sri Lanka Vs Netherlands,Netherlands,6,Scott Edwards(c),21,15,3,0,140.00,out,T20I # 1835
Sri Lanka Vs Netherlands,Netherlands,7,Tim Pringle,2,4,0,0,50.00,out,T20I # 1835
Sri Lanka Vs Netherlands,Netherlands,8,Timm van der Gugten,0,1,0,0,0.00,out,T20I # 1835
Sri Lanka Vs Netherlands,Netherlands,9,Fred Klaassen,3,3,0,0,100.00,out,T20I # 1835
Sri Lanka Vs Netherlands,Netherlands,10,Paul van Meekeren,0,0,0,0,-,out,T20I # 1835
Sri Lanka Vs Netherlands,Netherlands,11,Roelof van der Merwe,0,1,0,0,0.00,not_out,T20I # 1835
U.A.E. Vs Namibia,U.A.E.,1,Muhammad Waseem,50,41,1,3,121.95,out,T20I # 1836
U.A.E. Vs Namibia,U.A.E.,2,Vriitya Aravind,21,32,2,0,65.62,out,T20I # 1836
U.A.E. Vs Namibia,U.A.E.,3,Chundangapoyil Rizwan(c),43,29,3,1,148.27,not_out,T20I # 1836
U.A.E. Vs Namibia,U.A.E.,4,Alishan Sharafu,4,4,0,0,100.00,out,T20I # 1836
U.A.E. Vs Namibia,U.A.E.,5,Basil Hameed,25,14,2,2,178.57,not_out,T20I # 1836
U.A.E. Vs Namibia,Namibia,1,Michael van Lingen,10,8,1,0,125.00,out,T20I # 1836
U.A.E. Vs Namibia,Namibia,2,Stephan Baard,4,6,1,0,66.66,out,T20I # 1836
U.A.E. Vs Namibia,Namibia,3,Jan Nicol Loftie-Eaton,1,6,0,0,16.66,out,T20I # 1836
U.A.E. Vs Namibia,Namibia,4,Gerhard Erasmus(c),16,18,2,0,88.88,out,T20I # 1836
U.A.E. Vs Namibia,Namibia,5,Jan Frylinck,14,17,1,0,82.35,out,T20I # 1836
U.A.E. Vs Namibia,Namibia,6,JJ Smit,3,3,0,0,100.00,out,T20I # 1836
U.A.E. Vs Namibia,Namibia,7,David Wiese,55,36,3,3,152.77,out,T20I # 1836
U.A.E. Vs Namibia,Namibia,8,Zane Green,2,3,0,0,66.66,out,T20I # 1836
U.A.E. Vs Namibia,Namibia,9,Ruben Trumpelmann,25,24,1,1,104.16,not_out,T20I # 1836
U.A.E. Vs Namibia,Namibia,10,Bernard Scholtz,1,1,0,0,100.00,not_out,T20I # 1836
West Indies Vs Ireland,West Indies,1,Kyle Mayers,1,5,0,0,20.00,out,T20I # 1837
West Indies Vs Ireland,West Indies,2,Johnson Charles,24,18,3,1,133.33,out,T20I # 1837
West Indies Vs Ireland,West Indies,3,Evin Lewis,13,18,0,0,72.22,out,T20I # 1837
West Indies Vs Ireland,West Indies,4,Brandon King,62,48,6,1,129.16,not_out,T20I # 1837
West Indies Vs Ireland,West Indies,5,Nicholas Pooran(c),13,11,0,1,118.18,out,T20I # 1837
West Indies Vs Ireland,West Indies,6,Rovman Powell,6,8,1,0,75.00,out,T20I # 1837
West Indies Vs Ireland,West Indies,7,Odean Smith,19,12,1,2,158.33,not_out,T20I # 1837
West Indies Vs Ireland,Ireland,1,Paul Stirling,66,48,6,2,137.50,not_out,T20I # 1837
West Indies Vs Ireland,Ireland,2,Andy Balbirnie(c),37,23,3,3,160.86,out,T20I # 1837
West Indies Vs Ireland,Ireland,3,Lorcan Tucker,45,35,2,2,128.57,not_out,T20I # 1837
Scotland Vs Zimbabwe,Scotland,1,George Munsey,54,51,7,0,105.88,out,T20I # 1838
Scotland Vs Zimbabwe,Scotland,2,Michael Jones,4,5,1,0,80.00,out,T20I # 1838
Scotland Vs Zimbabwe,Scotland,3,Matthew Cross,1,7,0,0,14.28,out,T20I # 1838
Scotland Vs Zimbabwe,Scotland,4,Richie Berrington(c),13,15,0,0,86.66,out,T20I # 1838
Scotland Vs Zimbabwe,Scotland,5,Calum MacLeod,25,26,1,0,96.15,out,T20I # 1838
Scotland Vs Zimbabwe,Scotland,6,Michael Leask,12,9,2,0,133.33,out,T20I # 1838
Scotland Vs Zimbabwe,Scotland,7,Chris Greaves,3,7,0,0,42.85,not_out,T20I # 1838
Scotland Vs Zimbabwe,Scotland,8,Josh Davey,4,3,0,0,133.33,not_out,T20I # 1838
Scotland Vs Zimbabwe,Zimbabwe,1,Regis Chakabva,4,3,1,0,133.33,out,T20I # 1838
Scotland Vs Zimbabwe,Zimbabwe,2,Craig Ervine(c),58,54,6,0,107.40,out,T20I # 1838
Scotland Vs Zimbabwe,Zimbabwe,3,Wessly Madhevere,0,5,0,0,0.00,out,T20I # 1838
Scotland Vs Zimbabwe,Zimbabwe,4,Sean Williams,7,12,0,0,58.33,out,T20I # 1838
Scotland Vs Zimbabwe,Zimbabwe,5,Sikandar Raza,40,23,3,2,173.91,out,T20I # 1838
Scotland Vs Zimbabwe,Zimbabwe,6,Milton Shumba,11,11,0,0,100.00,not_out,T20I # 1838
Scotland Vs Zimbabwe,Zimbabwe,7,Ryan Burl,9,5,1,0,180.00,not_out,T20I # 1838
New Zealand Vs Australia,New Zealand,1,Finn Allen,42,16,5,3,262.50,out,T20I # 1839
New Zealand Vs Australia,New Zealand,2,Devon Conway,92,58,7,2,158.62,not_out,T20I # 1839
New Zealand Vs Australia,New Zealand,3,Kane Williamson(c),23,23,1,1,100.00,out,T20I # 1839
New Zealand Vs Australia,New Zealand,4,Glenn Phillips,12,10,2,0,120.00,out,T20I # 1839
New Zealand Vs Australia,New Zealand,5,James Neesham,26,13,0,2,200.00,not_out,T20I # 1839
New Zealand Vs Australia,Australia,1,David Warner,5,6,1,0,83.33,out,T20I # 1839
New Zealand Vs Australia,Australia,2,Aaron Finch(c),13,11,1,1,118.18,out,T20I # 1839
New Zealand Vs Australia,Australia,3,Mitchell Marsh,16,12,2,1,133.33,out,T20I # 1839
New Zealand Vs Australia,Australia,4,Glenn Maxwell,28,20,3,1,140.00,out,T20I # 1839
New Zealand Vs Australia,Australia,5,Marcus Stoinis,7,14,0,0,50.00,out,T20I # 1839
New Zealand Vs Australia,Australia,6,Tim David,11,8,0,1,137.50,out,T20I # 1839
New Zealand Vs Australia,Australia,7,Matthew Wade,2,4,0,0,50.00,out,T20I # 1839
New Zealand Vs Australia,Australia,8,Pat Cummins,21,18,2,1,116.66,out,T20I # 1839
New Zealand Vs Australia,Australia,9,Mitchell Starc,4,7,0,0,57.14,out,T20I # 1839
New Zealand Vs Australia,Australia,10,Adam Zampa,0,2,0,0,0.00,out,T20I # 1839
New Zealand Vs Australia,Australia,11,Josh Hazlewood,1,1,0,0,100.00,not_out,T20I # 1839
Afghanistan Vs England,Afghanistan,1,Hazratullah Zazai,7,17,1,0,41.17,out,T20I # 1840
Afghanistan Vs England,Afghanistan,2,Rahmanullah Gurbaz,10,9,0,1,111.11,out,T20I # 1840
Afghanistan Vs England,Afghanistan,3,Ibrahim Zadran,32,32,3,1,100.00,out,T20I # 1840
Afghanistan Vs England,Afghanistan,4,Usman Ghani,30,30,3,0,100.00,out,T20I # 1840
Afghanistan Vs England,Afghanistan,5,Najibullah Zadran,13,11,0,1,118.18,out,T20I # 1840
Afghanistan Vs England,Afghanistan,6,Mohammad Nabi(c),3,5,0,0,60.00,out,T20I # 1840
Afghanistan Vs England,Afghanistan,7,Azmatullah Omarzai,8,6,1,0,133.33,out,T20I # 1840
Afghanistan Vs England,Afghanistan,8,Rashid Khan,0,1,0,0,0.00,out,T20I # 1840
Afghanistan Vs England,Afghanistan,9,Mujeeb Ur Rahman,0,1,0,0,0.00,out,T20I # 1840
Afghanistan Vs England,Afghanistan,10,Fareed Ahmad,2,4,0,0,50.00,not_out,T20I # 1840
Afghanistan Vs England,Afghanistan,11,Fazalhaq Farooqi,0,2,0,0,0.00,out,T20I # 1840
Afghanistan Vs England,England,1,Jos Buttler(c),18,18,3,0,100.00,out,T20I # 1840
Afghanistan Vs England,England,2,Alex Hales,19,20,0,1,95.00,out,T20I # 1840
Afghanistan Vs England,England,3,Dawid Malan,18,30,0,0,60.00,out,T20I # 1840
Afghanistan Vs England,England,4,Ben Stokes,2,4,0,0,50.00,out,T20I # 1840
Afghanistan Vs England,England,5,Liam Livingstone,29,21,3,0,138.09,not_out,T20I # 1840
Afghanistan Vs England,England,6,Harry Brook,7,6,0,0,116.66,out,T20I # 1840
Afghanistan Vs England,England,7,Moeen Ali,8,10,0,0,80.00,not_out,T20I # 1840
Ireland Vs Sri Lanka,Ireland,1,Paul Stirling,34,25,4,1,136.00,out,T20I # 1841
Ireland Vs Sri Lanka,Ireland,2,Andy Balbirnie(c),1,5,0,0,20.00,out,T20I # 1841
Ireland Vs Sri Lanka,Ireland,3,Lorcan Tucker,10,11,1,0,90.90,out,T20I # 1841
Ireland Vs Sri Lanka,Ireland,4,Harry Tector,45,42,2,1,107.14,out,T20I # 1841
Ireland Vs Sri Lanka,Ireland,5,Curtis Campher,2,4,0,0,50.00,out,T20I # 1841
Ireland Vs Sri Lanka,Ireland,6,George Dockrell,14,16,0,0,87.50,out,T20I # 1841
Ireland Vs Sri Lanka,Ireland,7,Gareth Delany,9,6,1,0,150.00,out,T20I # 1841
Ireland Vs Sri Lanka,Ireland,8,Mark Adair,0,1,0,0,0.00,out,T20I # 1841
Ireland Vs Sri Lanka,Ireland,9,Simi Singh,7,8,1,0,87.50,not_out,T20I # 1841
Ireland Vs Sri Lanka,Ireland,10,Barry McCarthy,2,2,0,0,100.00,not_out,T20I # 1841
Ireland Vs Sri Lanka,Sri Lanka,1,Kusal Mendis,68,43,5,3,158.13,not_out,T20I # 1841
Ireland Vs Sri Lanka,Sri Lanka,2,Dhananjaya de Silva,31,25,2,1,124.00,out,T20I # 1841
Ireland Vs Sri Lanka,Sri Lanka,3,Charith Asalanka,31,22,2,0,140.90,not_out,T20I # 1841
Pakistan Vs India,Pakistan,1,Mohammad Rizwan,4,12,1,0,33.33,out,T20I # 1842
Pakistan Vs India,Pakistan,2,Babar Azam(c),0,1,0,0,0.00,out,T20I # 1842
Pakistan Vs India,Pakistan,3,Shan Masood,52,42,5,0,123.80,not_out,T20I # 1842
Pakistan Vs India,Pakistan,4,Iftikhar Ahmed,51,34,2,4,150.00,out,T20I # 1842
Pakistan Vs India,Pakistan,5,Shadab Khan,5,6,1,0,83.33,out,T20I # 1842
Pakistan Vs India,Pakistan,6,Haider Ali,2,4,0,0,50.00,out,T20I # 1842
Pakistan Vs India,Pakistan,7,Mohammad Nawaz,9,6,2,0,150.00,out,T20I # 1842
Pakistan Vs India,Pakistan,8,Asif Ali,2,3,0,0,66.66,out,T20I # 1842
Pakistan Vs India,Pakistan,9,Shaheen Shah Afridi,16,8,1,1,200.00,out,T20I # 1842
Pakistan Vs India,Pakistan,10,Haris Rauf,6,4,0,1,150.00,not_out,T20I # 1842
